census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2021,6,578320,573333,Ian Potter Centre: NGV Australia 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),"Tenancy 4, Ian Potter Centre: NGV Australia Federation Square 2 Swanston Street MELBOURNE VIC 3000",Crossbar Cafe,4511,Cafes and Restaurants,Seats - Indoor,50,144.96994,-37.81778,"{'lon': 144.96994, 'lat': -37.81778}"
2021,6,578320,573333,Ian Potter Centre: NGV Australia 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),"Tenancy 3B, Ian Potter Centre: NGV Australia Federation Square 2 Swanston Street MELBOURNE VIC 3000",In a Rush,4511,Cafes and Restaurants,Seats - Indoor,60,144.96994,-37.81778,"{'lon': 144.96994, 'lat': -37.81778}"
2021,6,578325,573333,Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),"Tenancy 26, Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",Mama’s Canteen,4511,Cafes and Restaurants,Seats - Outdoor,100,144.96994,-37.81778,"{'lon': 144.96994, 'lat': -37.81778}"
2021,6,578325,573333,Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),"Tenancy 26, Yarra Building Federation Square 2 Swanston Street MELBOURNE VIC 3000",Mama’s Canteen,4511,Cafes and Restaurants,Seats - Indoor,75,144.96994,-37.81778,"{'lon': 144.96994, 'lat': -37.81778}"
2021,11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),22 Katherine Place MELBOURNE VIC 3000,HUANG JIN PTY LTD,4511,Cafes and Restaurants,Seats - Indoor,34,144.95649,-37.81988,"{'lon': 144.95649, 'lat': -37.81988}"
2021,11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),"Shop G1, Ground 517 Flinders Lane MELBOURNE VIC 3000",Altius Coffee Brewers,4512,Takeaway Food Services,Seats - Indoor,8,144.95649,-37.81988,"{'lon': 144.95649, 'lat': -37.81988}"
2021,11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),"Shop G2, Ground 517 Flinders Lane MELBOURNE VIC 3000",Grain Store,4511,Cafes and Restaurants,Seats - Indoor,75,144.95649,-37.81988,"{'lon': 144.95649, 'lat': -37.81988}"
2021,11,103990,103990,524-528 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Rear Ground 524 Flinders Street MELBOURNE VIC 3000,Stand Up Cafe,4512,Takeaway Food Services,Seats - Indoor,2,144.95676,-37.82027,"{'lon': 144.95676, 'lat': -37.82027}"
2021,11,105295,105295,509 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),509 Flinders Lane MELBOURNE VIC 3000,Quincy Hotel Melbourne,4400,Accommodation,Seats - Indoor,94,144.95689,-37.81963,"{'lon': 144.95689, 'lat': -37.81963}"
2021,11,105295,105295,509 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),509 Flinders Lane MELBOURNE VIC 3000,Quincy Hotel Melbourne,4400,Accommodation,Seats - Outdoor,20,144.95689,-37.81963,"{'lon': 144.95689, 'lat': -37.81963}"
2021,11,108972,108972,10-22 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),16 Spencer Street MELBOURNE VIC 3000,Best Western Melbourne City,4400,Accommodation,Seats - Indoor,40,144.95524,-37.82051,"{'lon': 144.95524, 'lat': -37.82051}"
2021,12,103997,103997,472-482 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),"Shop 1, Ground 474 Flinders Street MELBOURNE VIC 3000",Riverside Deli & Coffee House,4511,Cafes and Restaurants,Seats - Indoor,50,144.95827,-37.81973,"{'lon': 144.95827, 'lat': -37.81973}"
