Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
2761,"13 Crosby Street, 
TRUGANINA VIC 3029",TRUGANINA,590.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.688652,37.759383
2762,"9 Dalwood Way, 
WOLLERT VIC 3750",WOLLERT,590.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,145.04007,37.611553
2763,"18/25 Kooyong Road, 
ARMADALE VIC 3143",ARMADALE,595.0,9436.0,4321.5,38.0,6445.0,0.0,0.0,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,145.020574,37.856235
2764,"1/59 Manton Road, 
CLAYTON VIC 3168",CLAYTON,595.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,145.119866,37.915509
2765,"10 Gauja Street, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,595.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.899313,37.585697
2766,DROMANA VIC 3936,DROMANA,595.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,144.965584,38.341828
2767,"58 Stanley Street, 
FRANKSTON VIC 3199",FRANKSTON,595.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.131921,38.142316
2768,"Carpark613/33 Blackwood Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,55.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,,
2769,"Carpark604/8 Pearl River Road, 
DOCKLANDS VIC 3008",DOCKLANDS,60.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
2770,"4/17 Shepparson Avenue, 
CARNEGIE VIC 3163",CARNEGIE,475.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,145.058124,37.889264
2771,"1/684 Inkerman Road, 
CAULFIELD VIC 3162",CAULFIELD,475.0,40971.0,7386.8,76.8,25978.0,0.0,0.0,49.0,627.0,536.0,223.0,109.0,173.0,19.0,408.0,7171.0,4995.0,5734.0,909.0,5319.0,186.0,1183.0,145.022558,37.869262
2772,"394 Clayton Road, 
CLAYTON VIC 3168",CLAYTON,475.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,145.122068,37.9127
2773,"3 Candelo Street, 
CLYDE VIC 3978",CLYDE,475.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,145.36039,38.123718
2774,"224/3 Hoddle Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,475.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.99224,37.803765
2775,"303/109 Dight Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,475.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,,
2776,"86 Hotham Street, 
EAST MELBOURNE VIC 3002",EAST MELBOURNE,475.0,4962.0,1711.2,41.8,3592.0,0.0,0.0,6.0,424.0,149.0,70.0,35.0,48.0,0.0,7.0,112.0,696.0,2640.0,480.0,1264.0,52.0,217.0,144.987477,37.814161
2777,"103a/74 Orrong Road, 
ELSTERNWICK VIC 3185",ELSTERNWICK,475.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,,
2778,"1/19 Selwyn Street, 
ELSTERNWICK VIC 3185",ELSTERNWICK,475.0,12032.0,4204.6,38.3,8071.0,0.0,0.0,23.0,170.0,120.0,59.0,33.0,84.0,3.0,52.0,2058.0,1077.0,2613.0,426.0,1957.0,29.0,421.0,145.001199,37.883936
2779,"65 Burton St, 
LALOR VIC 3075",LALOR,475.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,145.03217,37.667133
2780,"1027 Plenty Road, 
KINGSBURY VIC 3083",KINGSBURY,185.0,10564.0,1172.6,34.0,7808.0,0.0,0.0,53.0,69.0,21.0,45.0,19.0,43.0,3.0,8.0,2381.0,831.0,1250.0,369.0,1285.0,120.0,382.0,145.043173,37.715974
2781,"3/43 Benga Avenue, 
DANDENONG VIC 3175",DANDENONG,190.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,145.199375,37.982931
2782,"36 Coventry Crescent, 
MILL PARK VIC 3082",MILL PARK,195.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,145.067413,37.677435
2783,"116-130 Main Drive, 
BUNDOORA VIC 3083",BUNDOORA,200.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,145.059726,37.714794
2784,"31 Scarlet Drive, 
BUNDOORA VIC 3083",BUNDOORA,200.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,145.048662,37.680151
2785,"19 Haig Street, 
MERNDA VIC 3754",MERNDA,470.0,23634.0,2160.9,65.69999999999999,15485.0,0.0,0.0,178.0,94.0,35.0,95.0,15.0,53.0,3.0,58.0,7183.0,755.0,130.0,768.0,2055.0,33.0,552.0,145.087636,37.596606
2786,"4/17 Lucerne Avenue, 
MORNINGTON VIC 3931",MORNINGTON,470.0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,145.050805,38.222344
2787,"395 Blackburn Road, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,470.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,145.144948,37.889437
2788,"9 Norris Street, 
NOBLE PARK VIC 3174",NOBLE PARK,470.0,40239.0,9559.5,110.7,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,145.181301,37.972987
2789,"9/68-70 Chandler Road, 
NOBLE PARK VIC 3174",NOBLE PARK,470.0,40239.0,9559.5,110.7,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,,
2790,"13 Bowmore Road, 
NOBLE PARK VIC 3174",NOBLE PARK,470.0,40239.0,9559.5,110.7,27249.0,0.0,0.0,113.0,105.0,52.0,254.0,31.0,125.0,4.0,38.0,10611.0,2076.0,2758.0,1028.0,5145.0,608.0,1226.0,145.178237,37.952639
2791,"G11/380 Queensberry Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,470.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,,
2792,"7/5 Simpson Street, 
NORTHCOTE VIC 3070",NORTHCOTE,470.0,25657.0,8297.0,74.6,18476.0,0.0,0.0,100.0,278.0,75.0,87.0,49.0,135.0,3.0,56.0,5484.0,3192.0,2914.0,951.0,3882.0,89.0,1008.0,145.006822,37.778561
2793,"2/7 Winifred St, 
OAK PARK VIC 3046",OAK PARK,470.0,7976.0,3389.3,35.8,5661.0,0.0,0.0,17.0,33.0,17.0,26.0,6.0,25.0,0.0,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,144.91526,37.720832
2794,"1010/283 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,585.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
2795,"G04/40-44 Pakington Street, 
ST KILDA VIC 3182",ST KILDA,585.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,,
2796,"353 Rathmines Street, 
THORNBURY VIC 3071",THORNBURY,585.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,145.018126,37.765153
2797,"C309/609 Victoria Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,590.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,,
2798,"332/20 Shamrock Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,590.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,145.006754,37.810119
2799,"1/151 Victoria Avenue, 
ALBERT PARK VIC 3206",ALBERT PARK,590.0,16023.0,3427.6,41.5,10934.0,0.0,0.0,25.0,346.0,558.0,228.0,92.0,181.0,8.0,77.0,834.0,2943.0,5435.0,493.0,3118.0,34.0,700.0,144.948228,37.847664
2800,"4 Sandown Road, 
ASCOT VALE VIC 3032",ASCOT VALE,590.0,15351.0,4001.7,37.1,10752.0,0.0,0.0,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,144.919504,37.783125
2801,"304/15 Vickery Street, 
BENTLEIGH VIC 3204",BENTLEIGH,590.0,30909.0,6728.2,79.69999999999999,19882.0,0.0,0.0,59.0,197.0,130.0,132.0,67.0,139.0,9.0,123.0,8184.0,1727.0,2075.0,998.0,2642.0,78.0,552.0,145.039173,37.915831
2802,"28 Marlesford Crescent, 
BERWICK VIC 3806",BERWICK,590.0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,145.344799,38.055861
2803,"101/7-9 Cowra Street, 
BRIGHTON VIC 3186",BRIGHTON,590.0,39748.0,5788.0,92.0,23818.0,0.0,0.0,32.0,588.0,514.0,206.0,116.0,186.0,6.0,360.0,10160.0,3920.0,2609.0,1202.0,3251.0,28.0,665.0,,
2804,"7A Warne Street, 
BRUNSWICK VIC 3056",BRUNSWICK,590.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,144.956283,37.75935
2805,"203/3 Elliott Avenue, 
CARNEGIE VIC 3163",CARNEGIE,590.0,18803.0,4942.3,36.0,13392.0,0.0,0.0,27.0,131.0,91.0,83.0,25.0,92.0,3.0,74.0,2749.0,2556.0,4131.0,395.0,3460.0,90.0,978.0,145.060115,37.889617
2806,"315/864 Blackburn Road, 
CLAYTON VIC 3168",CLAYTON,645.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,,
2807,"16 Lilian Street, 
CLAYTON VIC 3168",CLAYTON,650.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,,
2808,"1611/868 Blackburn Road, 
CLAYTON VIC 3168",CLAYTON,650.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,,
2809,"9 Pesaro Street, 
CLYDE VIC 3978",CLYDE,650.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,145.365665,38.129371
2810,"3/5 Darlington Grove, 
COBURG VIC 3058",COBURG,650.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,144.974034,37.748224
2811,"6/61 Little Oxford St, 
COLLINGWOOD VIC 3066",COLLINGWOOD,650.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.984154,37.804452
2812,"165 Johnston Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,650.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.990563,37.799715
2813,"307B/3 Brewery Lane, 
COLLINGWOOD VIC 3066",COLLINGWOOD,650.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,,
2814,"505/11 Wellington Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,650.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.98724,37.79971
2815,"25 Northstead Way, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,650.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.928489,37.574373
2816,"11 Klass Road, 
CRANBOURNE VIC 3977",CRANBOURNE,650.0,122174.0,12938.6,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,145.253518,38.112041
2817,"12 Lord Avenue, 
DINGLEY VILLAGE VIC 3172",DINGLEY VILLAGE,645.0,10554.0,1457.0,44.7,6372.0,0.0,0.0,14.0,42.0,26.0,42.0,17.0,25.0,4.0,11.0,3195.0,761.0,0.0,450.0,397.0,16.0,105.0,145.125205,37.98292
2818,"2 Otter Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,580.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,144.984408,37.800641
2819,"1.3/466-482 Smith Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,580.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,,
2820,"5 Perth Street, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,580.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.926973,37.581052
2821,"21 Falkland Road, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,580.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.904172,37.576749
2822,"12/27 Hornsby Street, 
DANDENONG VIC 3175",DANDENONG,580.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,145.204475,37.990703
2823,"1303/8 Waterview Walk, 
DOCKLANDS VIC 3008",DOCKLANDS,580.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.947233,37.819128
2824,"501/3 Aquitania Way, 
DOCKLANDS VIC 3008",DOCKLANDS,580.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.941855,37.813601
2825,"813/421 Docklands Drive, 
DOCKLANDS VIC 3008",DOCKLANDS,580.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
2826,"608/8 McCrae Street, 
DOCKLANDS VIC 3008",DOCKLANDS,580.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.950036,37.822078
2827,"1012/60 Siddeley Street, 
DOCKLANDS VIC 3008",DOCKLANDS,580.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.953748,37.822193
2828,"2H/8 Waterside Place, 
DOCKLANDS VIC 3008",DOCKLANDS,580.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,144.941964,37.820249
2829,"3/67 Ormond Road, 
CLAYTON VIC 3168",CLAYTON,450.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,145.112952,37.919949
2830,"3/1390 North Road, 
CLAYTON VIC 3168",CLAYTON,450.0,13570.0,1709.5,34.5,9602.0,0.0,0.0,29.0,43.0,23.0,133.0,10.0,54.0,0.0,29.0,2960.0,1799.0,629.0,381.0,1886.0,138.0,595.0,,
2831,"12a/101 Alma Road, 
ST KILDA VIC 3182",ST KILDA,560.0,30189.0,12631.5,72.80000000000001,23753.0,0.0,0.0,105.0,263.0,253.0,183.0,83.0,261.0,10.0,41.0,1636.0,2218.0,14987.0,776.0,7769.0,576.0,1852.0,,
2832,"479 Derrimut Road, 
TARNEIT VIC 3029",TARNEIT,560.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.691148,37.833589
2833,"16 Halo Street, 
TARNEIT VIC 3029",TARNEIT,560.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,144.636901,37.840512
2834,"69 Jindabyne Avenue, 
TAYLORS HILL VIC 3037",TAYLORS HILL,560.0,19800.0,3317.7,34.5,13247.0,0.0,0.0,22.0,64.0,57.0,64.0,14.0,77.0,4.0,9.0,5064.0,823.0,0.0,400.0,707.0,82.0,333.0,144.763438,37.714631
2835,"2/26 Chappell Street, 
THOMASTOWN VIC 3074",THOMASTOWN,560.0,20211.0,1376.3,39.4,12705.0,0.0,0.0,108.0,75.0,82.0,135.0,33.0,74.0,18.0,31.0,6731.0,847.0,515.0,350.0,2087.0,171.0,564.0,145.009002,37.675861
2836,"12/37 Clapham Street, 
THORNBURY VIC 3071",THORNBURY,560.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,144.998159,37.754627
2837,"2 Kindee Way, 
TRUGANINA VIC 3029",TRUGANINA,560.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.716967,37.815226
2838,"3 Beartooth Road, 
TRUGANINA VIC 3029",TRUGANINA,560.0,38668.0,6433.6,91.8,26146.0,0.0,0.0,58.0,153.0,77.0,277.0,45.0,172.0,30.0,316.0,10431.0,978.0,40.0,1174.0,3216.0,130.0,1032.0,144.695113,37.76088
2839,"6 Limehouse Avenue, 
WOLLERT VIC 3750",WOLLERT,560.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,144.996096,37.595512
2840,"2/8 Goulburn Street, 
YARRAVILLE VIC 3013",YARRAVILLE,560.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,144.890976,37.815199
2841,"4/103-105 Herbert Street, 
DANDENONG VIC 3175",DANDENONG,565.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,,
2842,"1608/81 South Wharf Drive, 
DOCKLANDS VIC 3008",DOCKLANDS,565.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
2843,"13 Ovens Circuit, 
WHITTLESEA VIC 3757",WHITTLESEA,550.0,10747.0,36.1,36.8,6821.0,0.0,0.0,54.0,32.0,21.0,25.0,7.0,24.0,5.0,272.0,3589.0,281.0,41.0,375.0,558.0,21.0,136.0,145.113836,37.505348
2844,"49 Alkira Boulevard, 
WOLLERT VIC 3750",WOLLERT,550.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,145.00835,37.602222
2845,"55 Woodman Circuit, 
WOLLERT VIC 3750",WOLLERT,550.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,145.046606,37.611966
2846,"11 Woko Walk, 
WOLLERT VIC 3750",WOLLERT,550.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,145.000816,37.612914
2847,"21 Syrah Parade, 
WOLLERT VIC 3750",WOLLERT,550.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,,
2848,"4 Corrimbla Avenue, 
WOLLERT VIC 3750",WOLLERT,550.0,24762.0,459.5,30.7,16395.0,0.0,0.0,71.0,58.0,29.0,104.0,22.0,59.0,9.0,381.0,6847.0,851.0,154.0,391.0,1706.0,50.0,540.0,145.000614,37.608595
2849,"16 Brightvale Blvd, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,550.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,144.618148,37.864922
2850,"7/28 Salisbury Street, 
YARRAVILLE VIC 3013",YARRAVILLE,550.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,144.884137,37.823386
2851,"35 Cecil Street, 
YARRAVILLE VIC 3013",YARRAVILLE,550.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,144.880187,37.814022
2852,"326 Francis Street, 
YARRAVILLE VIC 3013",YARRAVILLE,550.0,15653.0,2785.2,37.2,11006.0,0.0,0.0,56.0,98.0,72.0,65.0,29.0,75.0,13.0,45.0,4727.0,1123.0,858.0,462.0,1991.0,55.0,572.0,144.86776,37.818387
2853,"5 Kirstina Road, 
GLEN WAVERLEY VIC 3150",GLEN WAVERLEY,430.0,43223.0,5167.6,81.2,27582.0,0.0,0.0,31.0,498.0,237.0,202.0,72.0,305.0,6.0,137.0,12642.0,1769.0,2120.0,962.0,3910.0,168.0,1127.0,145.165212,37.88989
2854,"2/38 View Str, 
GLENROY VIC 3046",GLENROY,430.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,,
2855,"2/38 View Street, 
GLENROY VIC 3046",GLENROY,430.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.928955,37.696257
2856,"11/265 Para Road, 
GREENSBOROUGH VIC 3088",GREENSBOROUGH,430.0,20997.0,2079.4,41.7,12959.0,0.0,0.0,49.0,110.0,89.0,51.0,30.0,60.0,5.0,31.0,6857.0,1184.0,212.0,400.0,1385.0,41.0,399.0,145.108773,37.705269
