,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($),SA2 Area Name
187,9969.0,5192.7,30.3,6570.0,,,28.0,27.0,18.0,39.0,11.0,19.0,4.0,29.0,2737.0,231.0,,396.0,851.0,14.0,232.0,972.0,Region summary_ Craigieburn - North West SA2 210051542.csv
188,7619.0,9238.5,30.9,6750.0,,,32.0,59.0,73.0,51.0,22.0,58.0,,208.0,55.0,890.0,3797.0,390.0,2296.0,62.0,739.0,1337.0,Region summary_ West Melbourne - Residential SA2 206041510.csv
189,13419.0,677.2,37.9,9016.0,,,42.0,52.0,45.0,52.0,27.0,21.0,3.0,7.0,4184.0,478.0,5.0,450.0,709.0,8.0,92.0,1218.0,Region summary_ Skye - Sandhurst SA2 214011376.csv
190,15351.0,4001.7,37.1,10752.0,,,55.0,115.0,65.0,68.0,36.0,63.0,3.0,123.0,3016.0,1569.0,2415.0,370.0,2262.0,67.0,616.0,1468.0,Region summary_ Ascot Vale SA2 206031113.csv
191,4380.0,766.2,39.2,2884.0,,,16.0,5.0,8.0,13.0,3.0,11.0,,6.0,1569.0,55.0,5.0,366.0,146.0,9.0,32.0,1150.0,Region summary_ The Basin SA2 211011449.csv
192,12941.0,3097.2,37.8,8723.0,,,137.0,57.0,22.0,43.0,14.0,44.0,3.0,77.0,3627.0,2144.0,221.0,349.0,2117.0,106.0,431.0,916.0,Region summary_ Reservoir - South East SA2 209021525.csv
193,14124.0,2366.7,47.6,8464.0,,,8.0,101.0,98.0,47.0,46.0,47.0,3.0,58.0,4283.0,880.0,312.0,612.0,644.0,18.0,142.0,1562.0,Region summary_ Beaumaris SA2 208011168.csv
194,9436.0,4321.5,38.0,6445.0,,,12.0,208.0,134.0,61.0,29.0,81.0,3.0,68.0,1281.0,863.0,3223.0,421.0,1921.0,27.0,438.0,1696.0,Region summary_ Armadale SA2 206061135.csv
195,9887.0,2182.7,43.3,5911.0,,,41.0,30.0,27.0,38.0,9.0,31.0,,12.0,3379.0,504.0,10.0,371.0,706.0,50.0,219.0,857.0,Region summary_ Reservoir - North West SA2 209021524.csv
196,11968.0,1207.8,38.7,8025.0,,,41.0,35.0,22.0,66.0,15.0,28.0,5.0,15.0,3852.0,719.0,69.0,361.0,883.0,40.0,168.0,1094.0,Region summary_ Bayswater North SA2 211031263.csv
197,9163.0,178.8,29.8,6335.0,,,108.0,10.0,3.0,31.0,5.0,24.0,3.0,212.0,2969.0,182.0,10.0,350.0,1109.0,22.0,339.0,1048.0,Region summary_ Wyndham Vale - North SA2 213051589.csv
198,17518.0,2724.4,48.1,10613.0,,,22.0,142.0,164.0,98.0,49.0,85.0,3.0,54.0,3876.0,2045.0,1714.0,486.0,1510.0,12.0,284.0,1569.0,Region summary_ Sandringham - Black Rock SA2 208011173.csv
199,22262.0,1096.2,36.4,15043.0,,,167.0,59.0,51.0,114.0,16.0,49.0,3.0,16.0,7042.0,1834.0,40.0,370.0,2267.0,39.0,248.0,1022.0,Region summary_ Carrum Downs SA2 214011370.csv
200,15038.0,2247.4,35.3,10669.0,,,139.0,118.0,35.0,77.0,18.0,49.0,6.0,77.0,4091.0,2466.0,472.0,353.0,2818.0,208.0,354.0,1058.0,Region summary_ Heidelberg West SA2 209011199.csv
201,8154.0,2326.1,38.9,5600.0,,,27.0,9.0,4.0,29.0,3.0,21.0,5.0,1.0,2212.0,586.0,125.0,350.0,613.0,32.0,181.0,850.0,Region summary_ Delahey SA2 213011331.csv
